antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'All_three', 'cannedveg'})","frozenset({'beer', 'frozenmeal'})",0.303,0.17,0.146,0.48184818481848185,2.83440108716754,0.09448999999999999,1.6018471337579618
"frozenset({'beer', 'frozenmeal'})","frozenset({'All_three', 'cannedveg'})",0.17,0.303,0.146,0.8588235294117645,2.83440108716754,0.09448999999999999,4.937083333333328
"frozenset({'beer', 'cannedveg'})","frozenset({'All_three', 'frozenmeal'})",0.167,0.302,0.146,0.8742514970059879,2.8948725066423444,0.09556599999999998,5.5507619047619
"frozenset({'frozenmeal', 'cannedveg'})","frozenset({'All_three', 'beer'})",0.173,0.293,0.146,0.8439306358381503,2.880309337331571,0.095311,4.530037037037038
frozenset({'beer'}),"frozenset({'All_three', 'frozenmeal', 'cannedveg'})",0.293,0.173,0.146,0.49829351535836175,2.880309337331571,0.095311,1.6483741496598638
frozenset({'frozenmeal'}),"frozenset({'All_three', 'beer', 'cannedveg'})",0.302,0.167,0.146,0.4834437086092715,2.894872506642344,0.09556599999999998,1.612602564102564
frozenset({'cannedveg'}),"frozenset({'All_three', 'beer', 'frozenmeal'})",0.303,0.17,0.146,0.48184818481848185,2.83440108716754,0.09448999999999999,1.6018471337579618
"frozenset({'Unnamed: 18', 'fish', 'cannedveg'})",frozenset({'frozenmeal'}),0.089,0.302,0.051,0.5730337078651685,1.8974626088250612,0.024121999999999998,1.6347894736842103
"frozenset({'Unnamed: 18', 'fish', 'frozenmeal'})",frozenset({'cannedveg'}),0.09,0.303,0.051,0.5666666666666667,1.87018701870187,0.023729999999999998,1.6084615384615386
"frozenset({'Unnamed: 18', 'cannedveg'})","frozenset({'fish', 'frozenmeal'})",0.303,0.09,0.051,0.1683168316831683,1.87018701870187,0.023729999999999998,1.0941666666666665
"frozenset({'Unnamed: 18', 'frozenmeal'})","frozenset({'fish', 'cannedveg'})",0.302,0.089,0.051,0.16887417218543047,1.8974626088250615,0.024121999999999998,1.0961035856573704
"frozenset({'fish', 'cannedveg'})","frozenset({'Unnamed: 18', 'frozenmeal'})",0.089,0.302,0.051,0.5730337078651685,1.8974626088250612,0.024121999999999998,1.6347894736842103
